Concept,Count,Swadesh
1454_WIPE,13,Swadesh200
1173_EYEBROW,13,
2226_goods,13,
2398_MANGO,13,
127_EXTINGUISH,13,
1149_ORPHAN,13,
2515_youngboy,13,
2516_comequick,13,
2517_giveme,13,
1816_BESIDE,13,
1574_FLOAT,13,Swadesh200
692_BRING,12,
1731_sawfish,12,
1580_ONLY,12,
2289_faraway,12,
2456_palmcabbage,12,
3149_ARMLET,12,
446_LOWER_ARM,12,
2389_carving,12,
1625_DEAD,12,
1064_SHIELD,12,
2519_arise,12,
2512_tobreakwood,12,
2505_thisfurther,12,
2514_totow,12,
841_locativenounsuffixattofrom,12,
1028_YAWN,12,
1811_SOUND_OR_NOISE,12,
1603_cowife,12,
1182_NOISE,12,
1327_UNCLE,12,
1881_ENOUGH,11,
694_GET,11,
1270_WHY,11,
825_AWAKE,11,
1919_TORCH,11,
2824_KNUCKLE,11,
2248_tothrowaway,11,
2429_tocutthrough,11,
2240_crownpigeon,11,
1558_SIMILAR,11,
2284_slippery,11,
1411_LIE_REST,11,
2760_MAKE_A_JOKE,11,
2070_underneath,11,
2523_talktome,11,
53_SPIRIT,11,
1598_coconutmat,11,
1765_thicket,11,
1652_greens,11,
1113_WRAP,11,
2165_SLOWLY,10,
281_POST,10,
717_SWEET,10,
805_SPINE,10,
497_SCAR,10,
620_INSECT,10,
1207_YOUNG,10,
378_PINCH,10,
549_COPULATE,10,
495_REVENGE,10,
2774_LITTLE_FINGER,10,
3179_CORAL_ROCK,10,
1587_SMELL_STINK,10,
1370_MONTH,10,
1465_BOX,10,
3281_JOB'S_TEARS,10,
2415_bushfowl,10,
2426_nipafruit,10,
2035_POND,10,
2073_ripebanana,10,
570_STAND_UP,10,
834_acertainonesomeanother,10,
1621_SNEEZE,10,
1014_OR,10,
1130_WE_EXCLUSIVE,10,
2672_HEADWATERS,10,
1633_feast,10,
1739_shellhull,10,
1258_shellfish,10,
2117_DESIRE,10,
2498_childf,10,
1265_HIGH,9,
653_PLANT_VEGETATION,9,
1590_WAIT_FOR,9,
193_SHALLOW,9,
2238_sleepy,9,
2637_WE_TWO_INCLUSIVE,9,
